Number, Answer, Question
"",,Valuing life should be the top priority of driving ethics. Drivers should respect
001,O,"pedestrians and yield to the elderly, children, and the disabled at all times."
002,X,Abiding by the traffic regulations has nothing to do with driving ehics.
"",,"A gasoline fire should be put out by a fire extinguisher, sand, a wet blanket, or"
003,O,wet clothing.
004,O,Yielding and tolerance are indicators of good driving ethics.
005,O,You should yield to oncoming vehicles on a narrow road.
"",,"Although drivers have the right of way when they have a greenlight, they are still"
006,O,required to watch out for jaywalkers and vehicles that run through red lights.
"",,"I see a car accident has taken place up ahead; someone was hurt, but nobody is"
007,X,"helping. I can see and hear the injured person screaming, but because I am in a"
"",,"hurry, I can ignore him."
"",,Inspecting our cars to make sure they are in good condition before we drive and
008,O,yielding to pedestrians and other vehicles when on the road displays good
"",,driving ethics.
"",,"If a driver overtakes me to avoid getting dusty, I should pass them for the same"
009,X,reason.
"",,The road is flooded with dirty water after heavy rains. There are lots of
010,X,pedestrians but I hate to block traffic so it's best that I speed up and pass them
"",,quickly.
"",,"You have to consider the safety and comfort of your passengers, and pay"
011,O,attention to the safety of other vehicles and pedestrians on the road whenever you
"",,"start your car, shift gears, turn, or brake."
012,O,It is very inconsiderate behavior to honk the horn at random.
"",,"Although vision, hearing, and judgment all become impaired when drinking"
013,X,"alcohol, alcohol makes people feel good. Therefore, it's okay for people to drive"
"",,after drinking.
"",,"My car breaks down in the fast lane, blocking traffic, and may cause safety"
014,X,"problems. As I am running late, I think it OK if I can fix it up quickly and drive"
"",,away.
"",,"I've been driving for many years and I'm a really good driver. So, it won't affect"
015,X,the safety at all if I chat on the phone while driving.
"",,"If I'm carrying passengers, I have to be extremely cautious because I am"
016,O,responsible for the safety of everyone on board.
"",,"As a veteran driver, I know just how dangerous speeding is. Even if passengers"
017,O,"ask me to speed up, I will never agree but rather tell them how dangerous that is"
"",,instead.
"",,"If a person doesn't use common courtesy when driving, it could cause a tragedy,"
018,O,not only for him/herself but for everybody.
"",,"A taxi driver can request an additional fare from elderly, disabled passengers, or"
019,X,children.
"",,You should switch your headlights to low-beam when approaching oncoming
020,O,vehicles at night.
"",,If the vehicle behind you taps their horn or uses their turn signal to indicate that
021,O,"they want to pass, you should slow down and pull over to the roadside, if there is"
"",,"no barrier blocking your path, to let them pass more safely."
"",,"If passengers leave personal belongings in your car, you are required to"
022,O,"immediately return them to the owner, or take them to the nearest police station."
"",,If elderly or disabled people or children are crossing the pedestrian crosswalk
023,X,"slowly, you should tap your horn to warn them to hurry up."
"",,
"",,"If you have passengers who are unfamiliar with the city, it's okay to take the"
024,X,
"",,longest route in order to earn more money.
"",,"If a passenger is sick with something contagious or is carrying smelly food, you"
025,O,can politely refuse them service.
"",,"If you ever find anybody injured and lying on the ground, you should"
026,O,immediately dial 110 or 119 to notify the police or emergency medical services.
